month_date_yyyymm,cbsa_code,cbsa_title,State,alabama,alaska,arizona,arkansas,california,colorado,connecticut ,deleware,florida,georgia,hawaii,idaho,illinois,indiana,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnessotta,mississippi,missouri,montana ,nebraska,nevada,new hampshire,new jersey,new mexico,new york,north carolina ,north dakota,ohio ,oklahoma,oregon,pennsylvania,south carolina,south dakota,tennessee,texas,utah ,vermont,virginia,washington,west virgina,wisconsin,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_yy,median_dom_vs_us,median_listing_price,median_listing_price_vs_us
202204,13820,"birmingham-hoover, al",Alabama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,240,-16,-9,30.602007,37.12374582,24.08026756,35,-0.135802469,1,269900,0.6351
202204,42020,"san luis obispo-paso robles-arroyo grande, ca",California,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,58,-31,-3,68.561873,52.5083612,84.61538462,31,0,-3,999900,2.3527
202204,38940,"port st. lucie, fl",Florida,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,93,-16,127,61.036789,62.54180602,59.53177258,29,-0.395833333,-5,450000,1.0588
202204,12700,"barnstable town, ma",Massachussetts ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,107,47,69,57.859532,37.12374582,78.59531773,35,-0.195402299,1,799500,1.8812
202204,21780,"evansville, in-ky",Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,78,57,10,63.879599,76.2541806,51.50501672,25,-0.275362319,-9,209000,0.4918
202204,45060,"syracuse, ny",New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,226,9,-36,33.277592,0.668896321,65.88628763,62,0.169811321,28,199900,0.4704
202204,42220,"santa rosa, ca",California,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,84,-29,77,62.541806,76.2541806,48.82943144,25,-0.21875,-9,1049990,2.4706
202204,27340,"jacksonville, nc",North Carolina ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,112,-39,20,56.688963,37.12374582,76.2541806,35,-0.125,1,285000,0.6706
202204,10180,"abilene, tx",Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,252,215,30,-102,35.953177,37.12374582,34.7826087,35,0.014492754,1,275000,0.6471
202204,45300,"tampa-st. petersburg-clearwater, fl",Florida,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,57,-7,27,68.896321,67.89297659,69.89966555,28,-0.232876712,-6,419000,0.9859
202204,39540,"racine, wi",Wisconsin ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,220,41,25,20,74.080268,52.5083612,95.65217391,31,-0.215189873,-3,289000,0.68
202204,31180,"lubbock, tx",Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,164,151,-13,-27,48.662207,73.57859532,23.7458194,27,-0.052631579,-7,350000,0.8235
202204,41620,"salt lake city, ut",Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52,128,-27,-33,52.341137,86.28762542,18.39464883,21,1.1,-13,625000,1.4706
202204,40380,"rochester, ny",New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9,1,0,93.478261,98.66220736,88.29431438,10,-0.333333333,-24,199999,0.4706
202204,12980,"battle creek, mi",Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,234,4,-60,31.772575,16.38795987,47.15719064,42,-0.20754717,8,199900,0.4704
202204,20700,"east stroudsburg, pa",Pennsylvania ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,273,183,6,-87,43.645485,41.13712375,46.15384615,34,-0.014492754,0,330000,0.7765
202204,22900,"fort smith, ar-ok",Oklahoma ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,170,237,-32,-25,30.936455,25.75250836,36.12040134,38,-0.061728395,4,210000,0.4941
202204,44100,"springfield, il",Illinois,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,103,53,136,58.361204,47.82608696,68.89632107,32,-0.319148936,-2,140000,0.3294
202204,13780,"binghamton, ny",New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,222,17,-6,34.448161,4.347826087,64.54849498,52,0.04,18,185000,0.4353
202204,19660,"deltona-daytona beach-ormond beach, fl",Florida,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,110,6,31,57.190635,59.53177258,54.84949833,30,-0.220779221,-4,410348,0.9655
202204,28940,"knoxville, tn",Tennessee ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59,47,15,50,72.240803,59.53177258,84.94983278,30,-0.302325581,-4,395000,0.9294
202204,12620,"bangor, me",Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,165,17,-44,46.153846,1.337792642,90.96989967,57,0.252747253,23,240000,0.5647
202204,24780,"greenville, nc",North Carolina ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,17,35,109,87.123746,79.26421405,94.98327759,24,-0.448275862,-10,278000,0.6541
202204,15380,"buffalo-cheektowaga-niagara falls, ny",New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,106,104,-19,57.859532,52.5083612,63.21070234,31,-0.114285714,-3,225000,0.5294
202204,48540,"wheeling, wv-oh",Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,267,247,3,14,28.26087,2.675585284,53.84615385,53,-0.152,19,155000,0.3647
202204,33780,"monroe, mi",Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,153,-5,-101,48.662207,2.675585284,94.64882943,53,0.413333333,19,251000,0.5906
202204,48660,"wichita falls, tx",Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,286,87,11,-55,62.207358,79.26421405,45.15050167,24,0.333333333,-10,175000,0.4118
202204,34980,"nashville-davidson--murfreesboro--franklin, tn",Tennessee ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,54,-14,26,70.401338,97.99331104,42.80936455,11,-0.421052632,-23,524900,1.2351
202204,45220,"tallahassee, fl",Florida,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,231,10,15,32.77592,52.5083612,13.04347826,31,-0.215189873,-3,291000,0.6847
202204,17780,"college station-bryan, tx",Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,193,188,-16,69,42.64214,62.54180602,22.74247492,29,-0.333333333,-5,325000,0.7647
202204,44220,"springfield, oh",Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,297,120,30,-101,54.682274,13.37792642,95.98662207,43,0.457627119,9,189900,0.4468
202204,38340,"pittsfield, ma",Massachussetts ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,204,23,22,37.959866,9.364548495,66.55518395,45,-0.150943396,11,475000,1.1176
202204,36540,"omaha-council bluffs, ne-ia",Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,221,-20,-17,34.448161,47.82608696,21.07023411,32,-0.179487179,-2,375000,0.8824
202204,22520,"florence-muscle shoals, al",Alabama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,241,-64,-78,30.434783,25.75250836,35.11705686,38,0.070422535,4,239900,0.5645
202204,17460,"cleveland-elyria, oh",Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,224,4,-41,34.113712,22.40802676,45.81939799,39,-0.123595506,5,194000,0.4565
202204,30460,"lexington-fayette, ky",Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,268,9,2,20.568562,13.37792642,27.75919732,43,-0.188679245,9,385000,0.9059
202204,36100,"ocala, fl",Florida,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,171,-18,-13,45.150502,30.43478261,59.86622074,37,-0.119047619,3,314900,0.7409
202204,10900,"allentown-bethlehem-easton, pa-nj",New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,25,1,13,81.605351,91.30434783,71.90635452,18,-0.234042553,-16,329000,0.7741
