,RegionID,Median List price monthly ,RegionName,StateName,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022
0,753899,Median List Price Monthly ,"Los Angeles-Long Beach-Anaheim, CA",CA,887333.0,889667.0,886000.0,894300.0,925967.0,956300.0,968000.0,974000.0,979333.0,990667.0,997667.0,999300.0,1009263.0,1012559.0,1012592.0,1002929.0,994967.0,977967.0,957667.0,945967.0,946300.0,949967.0,957967.0,971300.0,987933.0
1,395057,Median List Price Monthly ,"San Francisco, CA",CA,899667.0,916333.0,927333.0,951667.0,985000.0,998333.0,998667.0,998667.0,998667.0,995000.0,988667.0,984333.0,984333.0,990228.0,993561.0,995895.0,982667.0,962525.0,940192.0,929192.0,917333.0,906333.0,897667.0,911000.0,942296.0
2,395025,Median List Price Monthly ,"Riverside, CA",CA,422929.0,426263.0,427963.0,434667.0,446333.0,461333.0,471667.0,480000.0,485000.0,490000.0,491633.0,493300.0,494950.0,506650.0,521317.0,536333.0,544633.0,548300.0,549965.0,551665.0,553332.0,553627.0,551960.0,552260.0,561633.0
3,395078,Median List Price Monthly ,"Seattle, WA",WA,662633.0,662330.0,659647.0,659647.0,668283.0,669967.0,663300.0,651650.0,639983.0,636317.0,639667.0,654667.0,670000.0,686650.0,698317.0,704967.0,704967.0,697963.0,694647.0,692997.0,691665.0,686648.0,691615.0,713117.0,749467.0
4,395056,Median List Price Monthly ,"San Diego, CA",CA,769667.0,770000.0,770000.0,781333.0,814667.0,840000.0,840000.0,830000.0,814967.0,812967.0,815967.0,832667.0,843000.0,856333.0,856300.0,855967.0,847967.0,844666.0,841333.0,841666.0,844998.0,848632.0,856598.0,872933.0,889633.0
5,394998,Median List Price Monthly ,"Portland, OR",OR,475317.0,474349.0,474188.0,476683.0,487941.0,492780.0,496736.0,499962.0,508671.0,518349.0,525528.0,530638.0,538167.0,553333.0,573333.0,589667.0,594667.0,589633.0,581967.0,576617.0,574967.0,575600.0,582250.0,589400.0,596734.0
6,395045,Median List Price Monthly ,"Sacramento, CA",CA,525500.0,525800.0,524967.0,527967.0,537667.0,547667.0,559633.0,567617.0,575933.0,580633.0,586317.0,587983.0,583313.0,586646.0,596663.0,611333.0,619667.0,617300.0,615933.0,614267.0,618300.0,625000.0,634667.0,644667.0,652054.0
7,394775,Median List Price Monthly ,"Las Vegas, NV",NV,333981.0,335647.0,333300.0,329933.0,334900.0,341267.0,344633.0,346333.0,347167.0,347167.0,345833.0,345000.0,354300.0,372283.0,397283.0,416317.0,426667.0,435167.0,444333.0,456333.0,466167.0,476667.0,487967.0,499633.0,509967.0
8,395059,Median List Price Monthly ,"San Jose, CA",CA,1165629.0,1192333.0,1192667.0,1209333.0,1237451.0,1254451.0,1254446.0,1248562.0,1248562.0,1231567.0,1216296.0,1216296.0,1234963.0,1251667.0,1268300.0,1283267.0,1296600.0,1286263.0,1279296.0,1266296.0,1243333.0,1216333.0,1228666.0,1278667.0,1346000.0
9,394619,Median List Price Monthly ,"Fresno, CA",CA,359370.0,362097.0,367310.0,372861.0,382907.0,389380.0,391845.0,390464.0,390896.0,390105.0,390612.0,388726.0,390933.0,400050.0,414050.0,424050.0,424967.0,421667.0,423150.0,429779.0,439446.0,448963.0,452300.0,437633.0,426633.0
10,394357,Median List Price Monthly ,"Bakersfield, CA",CA,263251.0,265296.0,266906.0,267195.0,271220.0,278947.0,286706.0,294607.0,298116.0,295863.0,291398.0,288289.0,292633.0,301600.0,313267.0,320300.0,325000.0,323333.0,323000.0,323300.0,333133.0,343100.0,346467.0,344967.0,348300.0
11,394952,Median List Price Monthly ,"Ventura, CA",CA,810800.0,807500.0,803000.0,806317.0,832650.0,856300.0,867950.0,871283.0,864300.0,862583.0,864583.0,898083.0,923467.0,943467.0,946633.0,931300.0,926300.0,897633.0,894000.0,889641.0,898308.0,901974.0,908000.0,914983.0,936650.0
12,395134,Median List Price Monthly ,"Stockton, CA",CA,434967.0,436830.0,438480.0,445177.0,456613.0,469963.0,476596.0,481629.0,481629.0,486650.0,485650.0,492316.0,492333.0,506666.0,518333.0,540000.0,556667.0,569983.0,569983.0,562967.0,561283.0,569617.0,581300.0,592112.0,610429.0
13,394399,Median List Price Monthly ,"Boise City, ID",ID,388497.0,393828.0,397282.0,403263.0,413263.0,421597.0,426597.0,431567.0,443367.0,453133.0,461133.0,469329.0,482929.0,504959.0,528296.0,550753.0,560056.0,558148.0,550658.0,547992.0,548267.0,556630.0,576963.0,610297.0,643633.0
14,753899,Median Sale Price Monthly ,"Los Angeles-Long Beach-Anaheim, CA",CA,673000.0,676333.0,676333.0,676667.0,691000.0,712667.0,729333.0,737333.0,739000.0,737333.0,732500.0,737833.0,752833.0,777333.0,802000.0,818667.0,827500.0,829167.0,829167.0,829000.0,830667.0,839000.0,846667.0,858333.0,878333.0
15,395057,Median Sale Price Monthly ,"San Francisco, CA",CA,790000.0,818000.0,836667.0,850833.0,867833.0,890833.0,901667.0,901333.0,900250.0,890250.0,872750.0,872167.0,903833.0,974000.0,1033667.0,1062000.0,1059667.0,1033333.0,1011667.0,1001667.0,1000000.0,983333.0,946667.0,948333.0,1003333.0
16,395025,Median Sale Price Monthly ,"Riverside, CA",CA,391333.0,393333.0,395667.0,398432.0,406598.0,413265.0,421500.0,426667.0,431667.0,435000.0,437667.0,442667.0,451417.0,463750.0,475417.0,485000.0,493333.0,498333.0,500000.0,501667.0,505750.0,514083.0,520750.0,528333.0,540000.0
17,395078,Median Sale Price Monthly ,"Seattle, WA",WA,512908.0,524575.0,522275.0,525700.0,534033.0,548333.0,557665.0,560998.0,561665.0,555333.0,553667.0,558000.0,578322.0,603321.0,631654.0,648333.0,658333.0,656667.0,647333.0,643983.0,640650.0,642967.0,629650.0,636317.0,671650.0
18,395056,Median Sale Price Monthly ,"San Diego, CA",CA,605417.0,604917.0,602417.0,603333.0,616474.0,633308.0,651724.0,658333.0,663333.0,660000.0,659000.0,665667.0,684000.0,707500.0,726667.0,743333.0,750833.0,748333.0,746333.0,748000.0,756667.0,758667.0,763500.0,777333.0,809000.0
